bank_txn_id,date,description,reference,amount
B-2026-042,14-07-2026,NEFT/Mehta & Co/PAYMENT,UTR63826716,24796.42
B-2026-043,13-07-2026,NEFT/Kapur Industries/PAYMENT,UTR45594951,1105.61
B-2026-044,14-07-2026,NEFT/Reddy Tech/PAYMENT,UTR30776478,35132.98
B-2026-045,07-07-2026,NEFT/Rahul Traders/PAYMENT,UTR52091325,48466.76
B-2026-046,23-07-2026,UPI/GUPTALOGISTICS/TRANSFER,UPI17634247,12542.76
B-2026-047,30-07-2026,UPI/SHARMAENTERPRISES/TRANSFER,UPI41568532,6027.82
B-2026-048,02-08-2026,UPI/RAHULTRADERS/TRANSFER,UPI93131979,13683.79
B-2026-049,25-07-2026,UPI/MEHTA&CO/TRANSFER,UPI99889098,19020.59
B-2026-050,13-07-2026,UPI/VERMASOLUTIONS/TRANSFER,UPI71367643,6963.17
B-2026-051,05-07-2026,UPI/SHARMAENTERPRISES/TRANSFER,UPI19832887,14317.39
B-2026-052,20-07-2026,UPI/SINGHCORP/TRANSFER,UPI19233013,6986.85
B-2026-053,12-07-2026,UPI/VERMASOLUTIONS/TRANSFER,UPI92097999,11572.77
B-2026-054,25-07-2026,UPI/SHARMAENTERPRISES/TRANSFER,UPI28024248,18976.34
B-2026-055,30-07-2026,UPI/GUPTALOGISTICS/TRANSFER,UPI46553958,16136.25
B-2026-056,07-07-2026,IMPS/Verma Solutions,IMPS77834855,21917.02
B-2026-057,29-07-2026,IMPS/Sharma Enterprises,IMPS95132217,25346.86
B-2026-058,02-07-2026,IMPS/Verma Solutions,IMPS31687165,9063.82
B-2026-059,23-07-2026,IMPS/Sharma Enterprises,IMPS20099059,16698.37
B-2026-060,02-07-2026,IMPS/Kapur Industries,IMPS27105448,24022.71
B-2026-061,12-07-2026,RTGS/Rahul Traders,RTGS58024342,7393.89
B-2026-062,13-07-2026,RTGS/Rahul Traders/DUP,RTGS38195995,7393.89
B-2026-063,12-07-2026,RTGS/Kapur Industries,RTGS93303777,6680.7
B-2026-064,13-07-2026,RTGS/Kapur Industries/DUP,RTGS30743797,6680.7
B-2026-065,26-07-2026,RTGS/Kapur Industries,RTGS13326769,6864.63
B-2026-066,27-07-2026,RTGS/Kapur Industries/DUP,RTGS34073380,6864.63
B-2026-067,26-07-2026,RTGS/Mehta & Co,RTGS45810056,6019.44
B-2026-068,27-07-2026,RTGS/Mehta & Co/DUP,RTGS31367172,6019.44
B-2026-069,28-07-2026,UPI/Reddy Tech/NO-INV,UPI39854548,1154.9
B-2026-070,07-07-2026,UPI/Reddy Tech/NO-GL,UPI56930359,4266.35
B-2026-071,08-07-2026,UPI/Mehta & Co/NO-INV,UPI63481198,1094.66
B-2026-072,11-07-2026,UPI/Sharma Enterprises/NO-GL,UPI47463522,2114.41
B-2026-073,13-07-2026,NEFT/RAMESH KUMAR/PAYMENT,UTR13704481,11795.18
B-2026-074,06-07-2026,NEFT/RAMESH KUMAR/PAYMENT,UTR15134794,10805.9
B-2026-075,14-07-2026,NEFT/RAMESH KUMAR/PAYMENT,UTR68571795,8456.87
B-2026-076,13-07-2026,NEFT/RAMESH KUMAR/PAYMENT,UTR44188276,13995.05
